# Transcribed from the user list received 2026-09-05, headed August 2026.
# id|5ml,6ml,10ml,15ml,30ml prices; ! means unavailable; OUT means whole product out.
# Two designer rows explicitly use 3ml,5ml,6ml,10ml instead.
bois-blanc-by-arabiyat-prestige|270,330,480!,660!,1299!|OUT
absolute-chill-atralia-edp|220,270,400,550,1050!
absolute-ice-by-atralia-edp|230,280,409,550!,1050!
kayaan-midnight-edp|240,290,420,580,1099!
rayhaan-azul-edp|220,270,390,530,990!
rayhaan-cedrus-blanc-edp|220,270,390,530!,990!
rayhaan-pacific-aloha-edp|220,270,390,530,990!
rayhaan-nocturno-elixir-edp|220,270,390,530,990!
rayhaan-pharaoh-edp|220,270,390,530,990!
rayhaan-italia-edp|220,270,390,530,990!
rayhaan-jungle-vibe-edp|220,270,390,530,990!
rayhaan-lion-edp|220,270,390,530,990!
rayhaan-tiger-edp|220,270,390,530,990!
rayhaan-wolf-edp|220,270,390,530,990!
rayhaan-aquatica-edp|220,270,390,530,1020!
rayhaan-pacific-aura-edp|220,270,390,530,990!
rayhaan-tropical-vibe-edp|220,270,390,530,990!
rayhaan-obsidian-edp|220,270,390,530,990!
rayhaan-terra-edp|220,270,390,530,990!
rayhaan-elixir-edp|220,270,390,530,990!
ajmal-kuro-edp|280,340,499,690,1250!
bade-e-al-oud-oud-for-glory|240,300,440,600!,1150!
bade-e-al-oud-honor-glory|240,300,440,600,1150!
armaf-dunescape-edp|299,360,540,760,1499!
club-de-nuit-intense-man-pure-parfum|300,370,570,790,1520!
club-de-nuit-intense-overdose|420,520,810,1160!,2260!
club-de-nuit-intesne-man-edp|270,320,480,650,1299!
club-de-nuit-precieux-extrait-de-parfum|690,840,1360,1990,3910|OUT
club-de-nuit-intesne-man-edt|290,340,510,700,1350!
club-de-nuit-urban-man-elixir-edp|290,340,510,710!,1360!
club-de-nuit-blue-iconic|320,390,590,830,1599!
aromatix-platine-blanc-extract|330,399,610,860!,1699!
atlantis-extrait-by-french-avenue-edp|299,370,560,780!,1499!
zenith-blue-by-french-avenue-edp|290,350,520,730!,1399!
liquid-brun-by-french-avenue-edp|299,370,560,780,1499!
vulcan-feu-by-french-avenue-edp|299,370,560,780,1499!
naseem-by-gulf-orchid|210,250,360,490,910!
mango-ice-by-gulf-orchid|270,330,490,670,1290!
lattafa-opulent-dubai-edp|199,240,350,440,800!
lattafa-art-of-universe-edp|360,430,660,940,1810!
lattafa-maahir-legacy-edp|260,310,470,640,1250!
lattafa-yara-edp|220,270,390,520!,999!
rave-plato-lattafa|210,250,360,490!,910!
rave-now-by-lattafa-edp|210,250,360,490,910!
dynasty-by-lattafa-edp|260,320,470,660,1290!
teriaq-intense-by-lattafa-edp|310,380,570,800,1550!
lattafa-khamrah-qahwa-edp|280,340,510,700,1340!
lattafa-asad-bourbon-edp|220,270,399,550,1099!
lattafa-asad-edp|220,270,399,550,1099!
lattafa-fakhar-black-edp|230,280,410,560,1099!
lattafa-najdia-edp|190,230,330,440!,840!
lattafa-haayati-edp|190,230,320,440,840!
khadlaj-karus-gold-absolu-edp|260,320,470,650!,1280!
khadlaj-island-sun-edp|270,320,480,660,1299
khadlaj-island-edp|250,300,450,620!,1170!
khadlaj-island-dream-edp|250,300,450,620,1170!
titan-by-khadlaj-edp|270,330,490,670,1299|OUT
qaed-al-fursan-edp|190,230,330,430,799!
daring-blue-edp|190,230,320,430,799!
oud-al-layl-midnight-edp|160,190,260,350,640!
